lastName,firstName,state,party,score2015,scoreLifetime,Limiting Access to the Courts (7),Attack on Clean Air Protections (9),Climate Change Science (12),Prioritizing Drilling on Public Lands (17),Forcing Tar Sands Polluters to Pay for Spills (19),International Climate Action (20),Liquefied Natural Gas (LNG) Exports (34),PrairieAnti-environment voteChicken Protections (35),National Monuments (37),Clean Energy Tax Credits (40),Fracking Drinking Water Loophole (41),Land & Water Conservation Fund (LWCF) (43),Renewable Electricity Standard (RES) (44),Keystone XL Tar Sands Pipeline (KXL) (49),Keystone XL Tar Sands Pipeline (KXL) Veto Override (68),Selling Off America's Public Lands (106),Responding to the Threat of Climate Change (115),Undermining Critical Habitat for Wildlife (128),InvestorAnti-environment voteState Dispute Settlement in Trade Agreements (188),Fast Track of Trade Agreements (193),Climate Change Science Education (238),Gutting Clean Water Protections (295),Extreme Assault on Clean Water Rule (CRA) (297),Extreme Attack on Carbon Pollution Limits for Existing Power Plants (CRA) (306),Extreme Attack on Carbon Pollution Limits for New Power Plants (CRA) (307),userReviews
Boxer ,Barbara,CA,Democrat,100,91,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Test Review
Feinstein ,Dianne,CA,Democrat,88,89,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Missed vote,Anti-environment vote,Anti-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Test Review
Schumer ,Chuck,NY,Democrat,100,91,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Test Review
Gillibrand ,Kirsten,NY,Democrat,100,93,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Test Review
Rubio ,Marco,FL,Republican,0,6,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Missed vote,Missed vote,Missed vote,Missed vote,Missed vote,Missed vote,Missed vote,Missed vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Missed vote,Missed vote,Missed vote,Test Review
Nelson ,Bill,FL,Democrat,84,68,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Anti-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Anti-environment vote,Anti-environment vote,Missed vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Test Review
Sessions ,Jeff,AL,Republican,4,7,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Pro-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Test Review
Shelby ,Richard,AL,Republican,4,14,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Missed vote,Anti-environment vote,Pro-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Test Review
Schatz ,Brian,HI,Democrat,96,93,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Missed vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Test Review
Hirono ,Mazie,HI,Democrat,100,94,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Test Review
Blunt ,Roy,MO,Republican,4,4,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Pro-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Test Review
McCaskill ,Claire,MO,Democrat,76,72,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Anti-environment vote,Pro-environment vote,Pro-environment vote,Anti-environment vote,Anti-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Anti-environment vote,Anti-environment vote,Pro-environment vote,Anti-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Test Review
Alexander ,Lamar,TN,Republican,24,20,Anti-environment vote,Pro-environment vote,Pro-environment vote,Anti-environment vote,Pro-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Pro-environment vote,Anti-environment vote,Anti-environment vote,Pro-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Pro-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Test Review
Corker ,Bob,TN,Republican,4,13,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Pro-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Test Review
Cassidy ,Bill,LA,Republican,0,7,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Test Review
Vitter ,David,LA,Republican,0,4,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Missed vote,Anti-environment vote,Anti-environment vote,Test Review
Toomey ,Pat,PA,Republican,0,7,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Test Review
Casey ,Bob,PA,Democrat,88,89,Pro-environment vote,Anti-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Anti-environment vote,Anti-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Test Review
Stabenow ,Debbie,MI,Democrat,100,87,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Test Review
Peters ,Gary,MI,Democrat,100,91,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Test Review
Heller ,Dean,NV,Republican,8,11,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Pro-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Pro-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Test Review
Reid ,Harry,NV,Democrat,n/a,78,Missed vote,Missed vote,Missed vote,Missed vote,Missed vote,Missed vote,Missed vote,Missed vote,Missed vote,Missed vote,Missed vote,Missed vote,Missed vote,Missed vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Test Review
Booker ,Cory,NJ,Democrat,100,97,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Test Review
Menendez ,Robert,NJ,Democrat,100,94,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Test Review
Portman ,Rob,OH,Republican,8,20,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Pro-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Pro-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Test Review
Brown ,Sherrod,OH,Democrat,96,93,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Missed vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Test Review
Shaheen ,Jeanne,NH,Democrat,96,94,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Anti-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Test Review
Ayotte ,Kelly,NH,Republican,56,35,Anti-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Anti-environment vote,Anti-environment vote,Pro-environment vote,Anti-environment vote,Anti-environment vote,Pro-environment vote,Pro-environment vote,Anti-environment vote,Anti-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Anti-environment vote,Anti-environment vote,Pro-environment vote,Anti-environment vote,Anti-environment vote,Pro-environment vote,Pro-environment vote,Test Review
Klobuchar ,Amy,MN,Democrat,100,94,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Test Review
Franken ,Al,MN,Democrat,100,95,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Test Review
Johnson ,Ron,WI,Republican,0,4,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Test Review
Baldwin ,Tammy,WI,Democrat,100,97,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Test Review
McCain ,John,AZ,Republican,4,21,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Pro-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Test Review
Flake ,Jeff,AZ,Republican,0,9,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Test Review
Enzi ,Michael,WY,Republican,0,5,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Missed vote,Missed vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Test Review
Barrasso ,John,WY,Republican,0,9,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Test Review
Perdue ,David,GA,Republican,0,0,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Test Review
Isakson ,Johnny,GA,Republican,0,9,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Test Review
Cardin ,Benjamin,MD,Democrat,96,91,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Anti-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Test Review
Mikulski ,Barbara,MD,Democrat,96,85,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Missed vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Test Review
Cruz ,Ted,TX,Republican,0,5,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Missed vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Test Review
Cornyn ,John,TX,Republican,0,5,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Missed vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Test Review
Daines ,Steve,MT,Republican,0,1,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Test Review
Tester ,Jon,MT,Democrat,84,86,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Anti-environment vote,Pro-environment vote,Pro-environment vote,Anti-environment vote,Anti-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Anti-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Test Review
Murkowski ,Lisa,AK,Republican,4,18,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Pro-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Test Review
Sullivan ,Dan,AK,Republican,0,0,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Test Review
Gardner ,Cory,CO,Republican,16,9,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Pro-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Pro-environment vote,Anti-environment vote,Anti-environment vote,Pro-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Pro-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Test Review
Bennet ,Michael,CO,Democrat,84,87,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Anti-environment vote,Pro-environment vote,Pro-environment vote,Anti-environment vote,Anti-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Anti-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Test Review
Hoeven ,John,ND,Republican,0,9,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Test Review
Heitkamp ,Heidi,ND,Democrat,40,49,Pro-environment vote,Anti-environment vote,Pro-environment vote,Anti-environment vote,Pro-environment vote,Pro-environment vote,Anti-environment vote,Pro-environment vote,Anti-environment vote,Pro-environment vote,Anti-environment vote,Pro-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Pro-environment vote,Pro-environment vote,Anti-environment vote,Pro-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Test Review
Kirk ,Mark,IL,Republican,40,57,Anti-environment vote,Anti-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Pro-environment vote,Anti-environment vote,Pro-environment vote,Pro-environment vote,Anti-environment vote,Anti-environment vote,Anti-environment vote,Pro-environment vote,Missed vote,Anti-environment vote,Anti-environment vote,Pro-environment vote,Anti-environment vote,Anti-environment vote,Pro-environment vote,Pro-environment vote,Test Review
Durbin ,Dick,IL,Democrat,100,86,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Test Review
Udall ,Tom,NM,Democrat,92,96,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Anti-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Missed vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Pro-environment vote,Test Review
